ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status,Would_Sync_To_Shopify
9780994146038,New Zealand Art At Te Papa,STOCKER MARK,TEPAPA,,75.0,0,active,YES
9798887965703,Nga Tae I Roto I Te Kete - Colours in the Kete,NEHA EDDIE,RAKAU,,21.99,0,active,YES
9781761265976,Night in Passchendaele,BENNETT SCOTT,MACAUS,,37.99,0,active,YES
9781990003370,Nine Lives -  New Zealand Writers on Notable New Zealanders,,UPSPRE,,39.99,0,active,YES
9780143795865,No Adults Allowed - 1 Super Sidekicks,THAN GAVIN AUNG,PUFAUS,,9.99,0,active,YES
9780241252246,Nun of Murano - 97 Penguin Little Black Classics,CASANOVA GIACOMO,PENCLA,,2.99,0,active,YES
9780593599457,Official Game of Thrones Cookbook -  Recipes from King's Landing to the Dothraki Sea,MONROE-CASSEL CHELSEA,RANINC,,70.0,0,active,YES
9781991068125,Official New Zealand Road Code For Motorcyclists 2023,WAKA KOTAHI,BATEMA,,25.5,0,active,YES
9780241691830,On Trial For Murder,DK,DK,,26.0,0,active,YES
9781509826568,Other Women,FLINT EMMA,PICADO,,24.99,0,active,YES
9780785836599,Our Family Tree - A History Of Our Family,,CRESTL,,30.0,0,active,YES
9781801107747,Patient - 3 DS Cross,SULLIVAN TIM,HEADOF,,28.99,0,active,YES
9781838415310,Perceptions Of A Renegade Mind,ICKE DAVID,DAVICK,,55.0,0,active,YES
9798890030559,Persian Kitchen Tale -  Discover Exciting Flavors Through 60 Simple Recipes,NIKOO HANIYEH,PAGSTR,,49.99,0,active,YES
9781774021743,Phantom Of The Opera - Paper Mill Classics,LEROUX GASTON,PAPMIL,,24.99,0,active,YES
9780415834339,Phenomenology of Perception,MERLEAU-PONTY MAURICE,ROUTLE,,84.99,0,active,YES
9781478032625,Pierre Bourdieu's Political Economy of Being,HAGE GHASSAN,WOODSL,,77.0,0,active,YES
9780760379295,Pink Floyd And The Dark Side of the Moon -  50 Years,POPOFF MARTIN,MOTORB,,110.0,0,active,YES
9780008526559,Polish Girl,ADLER MALKA,ONEMOR,,32.99,0,active,YES
9780810994072,Poolside With Slim Aarons,AARONS SLIM,ABRAMS,,130.0,0,active,YES
9781471195679,Poppy Wife,SCOTT CAROLINE,SIMON&,,22.99,0,active,YES
9781786644800,Pre-Raphaelites,ROBINSON MICHAEL,FLATRE,,45.0,0,active,YES
9780008626532,Proto - How One Ancient Language Went Global,SPINNEY LAURA,WILCOL,,39.99,0,active,YES
9781912650149,Rabbit Listened,DOERRFELD CORI,SCAPRE,,21.99,0,active,YES
9781035900046,Rebel's Clinic - The Revolutionary Lives of Frantz Fanon,SHATZ ADAM,APOLLO,,54.99,0,active,YES
9780063139183,Remarkably Ruby,LIBENSON TERRI,HARCOL,,19.99,0,active,YES
9781629584164,Researching Lived Experience - Human Science For An Action Sensitive Pedagogy,VAN MANEN MAX,LEFCOA,,93.99,0,active,YES
9780473487485,Rivers Ran Red,GRIERSON J,CLOINK,,34.99,0,active,YES
9781922810748,Rock N Roll Gallery - A Journey from Sheffield to Sydney 1983-2023,MOTT TONY,WILKPU,,117.99,0,active,YES
9781853261879,Rubaiyat Of Omar Khayyam,OMAR KHAYYAM,WORDSW,,13.99,0,active,YES
9781946064042,Say What - 670 Quotes That Should Never Have Been Said,CHILA-JONES DOREEN,DUOPRE,,12.99,0,active,YES
9781523530182,Searching for Seashells Mini Wall Calendar 2026,WORKMAN CALENDARS,WORCAL,,9.99,0,active,YES
9781853260650,Secret Agent - Wordsworth Classics,CONRAD JOSEPH,WORDSW,,13.99,0,active,YES
9781774021767,Secret Garden - Paper Mill Classics,BURNETT FRANCES HOGDSON,PAPMIL,,24.99,0,active,YES
9780241544129,Secret Lives of Numbers - A History of Mathematics and its Unsung Trailblazers,KITAGAWA KATE / REVELL TIMOTHY,VIKING,,40.0,0,active,YES
9781869715670,Siena Love Story,PELLEGRINO NICKY,ORIONP,,37.99,0,active,YES
9781035051779,Six Scorched Roses - 1.5 Crowns of Nyaxia,BROADBENT CARISSA,TORBRA,,34.99,0,active,YES
9780756690557,Small Plot Big Harvest,DK,POIBLA,,19.99,0,active,YES
9781844062003,Stamps Of The World,FORTY SANDRA,TAJBOO,,14.99,0,active,YES
9780995117570,Standing Strong House,KAHUKIWA ROBIN,ONETRE,,40.0,0,active,YES
9781452174891,Stargazing,NATARAJ NIRMALA,CHRONI,,79.99,0,active,YES
9781780674124,Stickerbomb Skate - 150 Classic Skateboard Stickers,ANDREWS CAROL,LAUREN,,44.99,0,active,YES
9780241251744,Stolen White Elephants - 88 Penguin Little Black Classics,TWAIN MARK,PENCLA,,2.99,0,active,YES
9781473226722,Stone And Sky - 10 Rivers of London,AARONOVITCH BEN,ORION,,37.99,0,active,YES
9798888975916,Story Of Philosophy - The Lives And Opinions Of The Greater Philosophers,DURANT WILL,MINTE,,39.99,0,active,YES
9781785302275,Summer Bird Blue,BOWMAN AKEMI DAWN,BONZAF,,22.99,0,active,YES
9781783786763,Surviving Autocracy,GESSEN MASHA,GRANTA,,32.99,0,active,YES
9780241967638,Sybil - The True Story Of A Woman Possessed By Sixteen Separate Personalities,SCHREIBER FLORA,PENGUI,,36.99,0,active,YES
9780473735128,Takoto ai te Marino - Selected Works 2018 - 2025,TUREI RAUKURA,******,,200.0,0,active,YES
9781905802395,Taming Poison Dragons - 1 Medieval China,MURGATROYD TIM,MYRMID,,27.99,0,active,YES
9781400349203,Taylor Swift - Unofficial Search And Find Biographies,MORAIS GUS,CIDERM,,34.99,0,active,YES
9781916745391,Teddys ABC,PRIDDY ROGER,PRIDDY,,17.99,0,active,YES
9781853260803,Thirty Nine Steps - Wordsworth Classics,BUCHAN JOHN,WORDSW,,13.99,0,active,YES
9781847926562,This Is What It Sounds Like - What the Music You Love Says About You,ROGERS SUSAN,BODLEY,,40.0,0,active,YES
9781838774592,Three Sisters - 3 Tattooist Of Auschwitz,MORRIS HEATHER,ZAFFRE,,35.0,0,active,YES
9781788167079,Tickets For The Ark - From Wasps to Whales - How do we choose what to save?,NESBIT REBECCA,PROFIL,,36.99,0,active,YES
9781447273998,Tidy,GRAVETT EMILY,TWOHOO,,24.99,0,active,YES
9780958267359,Tino Tabak Dreams and Demons of a New Zealand Cycling Legend,KENNETT JONATHAN,KENNET,,20.0,0,active,YES
9780241568620,Tomas Nevinson,MARIAS JAVIER,PENGUI,,37.0,0,active,YES
9780340840801,Tomorrows Promises,JACOBS ANNA,HODPAP,,29.99,0,active,YES
9781853262913,Tristram Shandy - Wordsworth Classics,STERNE LAURENCE,WORDSW,,13.99,0,active,YES
9781991103192,Turn On Old Time,BOHAN EDMUND,QUEWIL,,37.99,0,active,YES
9781529113655,Two Storm Wood,GRAY PHILIP,VINTUK,,26.0,0,active,YES
9781423657781,Typewriter Jiggie - Die-Cut 86-Piece Jigsaw Puzzle,GIBBS SMITH,GIBBS,,22.99,0,active,YES
9780473351281,U Boat In New Zealand Waters,SHONE GERALD,PDL,,40.0,0,active,YES
9781497104617,Ultimate Beatles Collection -  Your Complete Guide to the World's Greatest Band,MCIVER JOEL,FOXCHA,,45.0,0,active,YES
9781786033604,Ultimate Guide to Surviving in the Wild,GIFFORD CLIVE,FRALIC,,17.99,0,active,YES
9781838699253,Vancouver - Lonely Planet Pocket Guide,LONELY PLANET,LONGLO,,24.99,0,active,YES
9780600636953,Vegan Slow Cooker - Over 70 delicious recipes for stress-free meals,SIDEY SASKIA,HAMLYN,,24.99,0,active,YES
9781905864829,Walkers Anthology - Further Tales,MANLEY DEBORAH,TRAILB,,29.99,0,active,YES
9780063323155,"Wanderlust - An Eccentric Explorer, an Epic Journey - a Lost Age",MITENBULER REID,HARCUS,,39.99,0,active,YES
9781526657947,Want - Sexual Fantasies by Anonymous,ANDERSON GILLIAN,BLOOMS,,38.99,0,active,YES
9781853262692,Wessex Tales - Wordsworth Classics,HARDY THOMAS,WORDSW,,13.99,0,active,YES
9780473474973,What Is This - Ancient Questions For Modern Minds,BATCHELOR MARTINE,TUWHIR,,30.0,0,active,YES
9781781577158,What They Didnt Teach You In Photo School - What You Actually Need To Know To Succeed In The Industry,FORDHAM DEMETRIUS,ILEX,,14.99,0,active,YES
8716951381571,White Elegance - Hardcover A5 Journal Lined,BEKKING AND BLITZ,BEKKIN,,41.99,0,active,YES
9781781574546,Why Photographers Prefer Cloudy Days - And 61 Other Ideas For Creative Photography,KAMPS HAJE JAN,ILEX,,24.99,0,active,YES
9780008637965,Why Were Getting Poorer - A Realists Guide to the Economy and How We Can Fix It,MORAN CAHAL,WILCOL,,39.99,0,active,YES
9780854671441,Wise Words Of The Maori,RILEY MURDOCH,VIKSEV,,70.0,0,active,YES
9780762454594,Witches Love Spell Book - For Passion Romance And Desire,GREENLEAF CERRIDWEN,RUNMIN,,13.99,0,active,YES
9781489280985,Woman In The Green Dress,COOPER TEA,HQ,,19.99,0,active,YES
9780785840145,Women in History -  300 Word Search Puzzles - Volume 3,FALCON REBECCA,CHARTW,,16.99,0,active,YES
