isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9780785846413,Bio Hack Your Brain,Well Being,Health,VSPT,Psychology,ADD_SECONDARY,Psychology
9781923058309,Sanctuary,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781761380280,Rebel Island - The Incredible History of Taiwan,History And Politics,History,JPSL,Politics,ADD_SECONDARY,Politics
9781529429473,SAS Great Escapes Three - Gripping True Escape Stories Executed by World War Two Heroes,History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9781529093803,White King - 3 Antonia Scott,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781761567759,Killing Cold,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781526678478,Smart Money - How Digital Currencies Will Win The New Cold War - And Why The West Needs To Act Now,Sciences,Business,KCLF,Economics,ADD_SECONDARY,Economics
9781526657497,What Writers Read - 35 Writers on their Favourite Book,Reference,General,DSK,Classics,RECLASSIFY,Classics
9781035031269,James,Fiction,General Fiction,FV,Historical Fiction,RECLASSIFY,Historical Fiction
9781835414309,Buffalo Hunter Hunter,Fiction,General Fiction,FK,Horror,RECLASSIFY,Horror
9781471197642,Death Watcher - 13 Robert Hunter,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781785044526,How To Thrive With Adult ADHD - 7 Pillars For Focus Productivity And Balance,Well Being,Health,VFJB,Psychology,ADD_SECONDARY,Psychology
9780857505422,Summer Guests - 2 The Martini Club,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781804993675,In Too Deep - 29 Jack Reacher,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780857505989,Vipers,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781784878917,End of the World and Hard-Boiled Wonderland,Fiction,General Fiction,FM,Science Fiction and Fantasy,RECLASSIFY,Science Fiction and Fantasy
9781399623445,Even More Extraordinary Things to Cut Out and Collage,The Arts,Art,WFT,Craft,ADD_SECONDARY,Craft
9780753558119,Prosecutor - One Mans Battle to Bring Nazis to Justice,History And Politics,History,JPFQ,Politics,ADD_SECONDARY,Politics
9780199576449,Oxford Essential Spanish Dictionary,Reference,Dictionaries,CBDX,Languages,ADD_SECONDARY,Languages
9781399408622,How to Think Like an Economist - Great Economists Who Shaped the World and What They Can Teach Us,Sciences,Business,KCZ,Economics,ADD_SECONDARY,Economics
9780008729578,"On Democracies and Death Cults - Israel, Hamas and the Future of the West",History And Politics,History,JPHV,Politics,ADD_SECONDARY,Politics
9781399410922,Take Control Of Your IBS - The Step-By-Step Guide That Actually Works,Well Being,Health,VFJB,Psychology,ADD_SECONDARY,Psychology
9781761470646,Bluff,Fiction,Crime Fiction,FHP,Thriller,ADD_SECONDARY,Thriller
9781761470455,Love on the Air,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781526612922,Devils Bargain - 1 Manon Tyler,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781804941041,Who She Was,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781761066894,Secrets of Strangers,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781546006312,Maos America - A Survivors Warning,History And Politics,History,JPV,Politics,ADD_SECONDARY,Politics
9780008270728,French Essential Dictionary - Collins Essential,Reference,Dictionaries,CBDX,Languages,ADD_SECONDARY,Languages
9780008688004,Collins Robert French Dictionary - Complete and Unabridged,Reference,Dictionaries,CBDX,Languages,ADD_SECONDARY,Languages
9780008270759,Italian - Collins Essential Dictionary,Reference,Dictionaries,CBDX,Languages,ADD_SECONDARY,Languages
9780008270742,German Essential Dictionary,Reference,Dictionaries,CBDX,Languages,ADD_SECONDARY,Languages
9781760688950,Outback - 1 DS Walker,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781838779894,Crucified - 5 DC Jack Warr,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
