CSTATUS,ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status
OSI,602394031648,Magnetic Poetry - Detective Novel,MAGNETIC POETRY,MAGNET,,30.0,0,not in WEBLIST
OSI,9781890560973,Magnetic Poetry - Erotic,MAGNETIC POETRY,MAGNET,,40.0,0,not in WEBLIST
OSI,602394030504,Magnetic Poetry - French Kit,MAGNETIC POETRY,MAGNET,,45.0,0,not in WEBLIST
OSI,9781890560522,Magnetic Poetry - Gardener,MAGNETIC POETRY,MAGNET,,29.0,0,not in WEBLIST
OSI,602394030603,Magnetic Poetry - German,MAGNETIC POETRY,MAGNET,,45.0,0,not in WEBLIST
OSI,602394031341,Magnetic Poetry - Hot Flash,MAGNETIC POETRY,MAGNET,,29.0,0,not in WEBLIST
OSI,602394030658,Magnetic Poetry - Italian,MAGNETIC POETRY,MAGNET,,45.0,0,not in WEBLIST
OSI,602394031891,Magnetic Poetry - Math Poet,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,602394031204,Magnetic Poetry - Nature,MAGNETIC POETRY,MAGNET,,29.0,0,not in WEBLIST
OSI,9781928576884,Magnetic Poetry - Norwegian,MAGNETIC POETRY,MAGNET,,39.95,0,not in WEBLIST
OSI,602394030009,Magnetic Poetry - Original,MAGNETIC POETRY,MAGNET,,39.99,0,not in WEBLIST
OSI,602394031754,Magnetic Poetry - Pirate,MAGNETIC POETRY,MAGNET,,29.0,0,not in WEBLIST
OSI,602394031297,Magnetic Poetry - Shakespearean,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,9781928576891,Magnetic Poetry - Swedish,MAGNETIC POETRY,MAGNET,,40.0,0,not in WEBLIST
OSI,602394031259,Magnetic Poetry - The Artist,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,602394030023,Magnetic Poetry - the Poet,MAGNETIC POETRY,MAGNET,,39.99,0,not in WEBLIST
OSI,602394031594,Magnetic Poetry - Yiddish,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,602394031242,Magnetic Poetry - Yoga,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,602394031914,Magnetic Poetry - Zen,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,9781869630362,Maori Before The Europeans Came To New Zealand,BOON KEVIN,WAIATA,,20.0,0,not in WEBLIST
OSI,9780785831655,Marvel - The Characters And Their Universe,MALLORY MICHAEL,CHARTW,,49.99,0,not in WEBLIST
OSI,9781684053568,Mickey Mouse - The 90th Anniversary Collection,GOTTFREDSON FLOYD,IDW,,19.99,0,not in WEBLIST
OSI,9781869630379,Missionaries And Traders - Developments In New Zealand History,BOON KEVIN,WAIATA,,20.0,0,not in WEBLIST
OSI,8716951210901,Monet - Wallet Notecards,BEKKING AND BLITZ,BEKKIN,,26.99,0,not in WEBLIST
OSI,602394031518,Music Lover - Magnetic Poetry,MAGNETIC POETRY,MAGNET,,29.99,0,not in WEBLIST
OSI,9781509885589,New Testament,BROWN JERICHO,PICADO,,32.99,0,not in WEBLIST
OSI,9781869661632,New Zealand Through Time - An Illustrated Journey Through 83 Million Years Of Natural History,COMETTI RONALD,NEWHOL,,32.0,0,not in WEBLIST
OSI,9780473138554,Ngati Inanga No Maketu,WEROHIA NA,PRIPUB,,17.0,0,not in WEBLIST
OSI,9781416511564,Power of Your Subconscious Mind,MURPHY JOSEPH,POCKET,,24.99,0,not in WEBLIST
OSI,7290108380262,Rummikub - With A Twist,,MISCEL,,49.99,0,not in WEBLIST
OSI,9781922079503,Selected Stories - Text Classics,MANSFIELD KATHERINE,TEXT,,15.99,0,not in WEBLIST
OSI,602394030696,Sexual Innuendo - Magnetic,MAGNETIC POETRY,MAGNET,,39.99,0,not in WEBLIST
OSI,4895069301863,Shanghai Posters - The Power Of Advertising,HESTLER ANNA,FORASI,,14.99,0,not in WEBLIST
OSI,9781439725399,Shiraz - Midi Lined,PAPERBLANKS,PAPBLA,,29.99,0,inactive
OSI,9781571335524,Small Notebook - Ruled,,PICCAD,,12.99,0,not in WEBLIST
OSI,9781608634323,Soft Leather Look Journal Brown,PICCADILLY,PICCAD,,24.99,0,not in WEBLIST
OSI,078628530063,Spanish Language Flash Cards - Palabras E Imagene,TREND ENTERPRISES,TREENT,,18.99,0,not in WEBLIST
OSI,9781612435282,Spencerian Handwriting -  The Complete Collection of Theory and Practical Workbooks for Perfect Cursive and Hand Lettering,SPENCER PLATTS ROGER,ULYSSE,,0.0,0,not in WEBLIST
OSI,9781608631599,Story Of My Life,,PICCAD,,19.99,0,not in WEBLIST
